factor,n_dates,IC_mean,IC_std,IR(IC_mean/IC_std),abs(IC)>2.00%_ratio,IC_mean_t_value
F-Score,122,0.028464317690078875,0.06046317995682857,0.4707710992111685,0.7622950819672131,5.1998367472454365
BM,122,0.06033747885837087,0.16075996231933604,0.37532653023714685,0.9426229508196722,4.145617025797538
ILL,122,0.05116405699254372,0.15984135392436852,0.32009274031020035,0.9016393442622951,3.5355398757069327
EP,122,0.04675796472481742,0.15761828007916512,0.2966531845248713,0.9508196721311475,3.276641519975473
ROE,122,0.017763147153904247,0.1302766120994542,0.1363494710803787,0.8770491803278688,1.5060291325853168
ABTO,122,-0.038398556983804774,0.10689856002329416,-0.3592055587599813,0.9262295081967213,-3.967555075884465
TO,122,-0.06481705103221806,0.1753581767780385,-0.3696266249064675,0.9262295081967213,-4.082659513656394
momentum_n1_s0,122,-0.05558745516532885,0.1335251982376037,-0.41630685368025294,0.860655737704918,-4.598259492827747
turnover,122,-0.09513792107755166,0.17131178765357905,-0.5553495318718895,0.9016393442622951,-6.134036070250962
VOL,122,-0.09183512724811523,0.16306839456200767,-0.5631693835876602,0.8934426229508197,-6.220409155552521
MAX,122,-0.08560927172207117,0.1406693138045008,-0.608585265732149,0.9098360655737705,-6.722043969752429
